name,genres,duration,released_date,reviews,comments,language,rating,director,actor,investment,revenue
The Exorcism of Carmen Farias,Horror,,07/05/2021 (MX),0,0,Spanish; Castilian,64,Rodrigo Fiallega,Camila Sodi,-,"$1,474,579.00"
The SpongeBob Movie: Sponge on the Run,"Family, Animation, Fantasy, Adventure, Comedy",1h 35m,08/14/2020 (CA),1,1,English,77,Tim Hill,Tom Kenny,"$60,000,000.00","$4,700,000.00"
Wish Dragon,"Animation, Family, Comedy, Fantasy",1h 39m,01/15/2021 (CN),1,2,English,83,Chris Appelhans,Jimmy Wong,-,"$25,860,000.00"
Coco,"Family, Animation, Fantasy, Music, Comedy, Adventure",1h 45m,11/22/2017 (US),4,17,English,82,Lee Unkrich,Anthony Gonzalez,"$175,000,000.00","$800,526,015.00"
Friendzone,"Romance, Comedy",,09/29/2021 (FR),0,0,French,64,Charles Van Tieghem,Mickaël Lumière,-,-
Forever Rich,"Crime, Comedy, Drama",1h 29m,10/01/2021 (US),0,0,Dutch; Flemish,55,Shady El-Hamus,Jonas Smulders,-,-
Spiral: From the Book of Saw,"Horror, Thriller, Mystery",1h 33m,05/14/2021 (US),2,2,English,63,Darren Lynn Bousman,Chris Rock,"$20,000,000.00","$36,544,468.00"
Roald Dahl's The Witches,"Family, Fantasy, Adventure, Comedy, Horror",1h 46m,10/25/2020 (IT),4,5,English,66,Robert Zemeckis,Anne Hathaway,$45.00,-
Iron Man 2,"Adventure, Action, Science Fiction",2h 4m,05/07/2010 (US),6,5,English,68,Jon Favreau,Robert Downey Jr.,"$200,000,000.00","$623,933,331.00"
Spider-Man: Far From Home,"Action, Adventure, Science Fiction",2h 9m,07/02/2019 (US),14,34,English,75,Jon Watts,Tom Holland,"$160,000,000.00","$1,131,927,996.00"
Sex and the City,"Comedy, Drama, Romance",2h 25m,05/30/2008 (US),0,1,English,66,Michael Patrick King,Sarah Jessica Parker,"$65,000,000.00","$415,252,786.00"
Prey,Thriller,1h 26m,09/10/2021 (US),0,0,German,45,Thomas Sieben,David Kross,-,-
Evangelion: 3.0+1.0 Thrice Upon a Time,"Animation, Action, Drama, Science Fiction",2h 35m,03/08/2021 (JP),0,1,Japanese,87,Hideaki Anno,Megumi Ogata,-,"$78,334,943.00"
There's Something About Mario,Comedy,1h 45m,06/10/2021 (BR),1,0,Portuguese,56,Hsu Chien Hsin,Daniel Rocha,-,-
Spider-Man: Homecoming,"Action, Adventure, Science Fiction, Drama",2h 13m,07/07/2017 (US),10,68,English,74,Jon Watts,Tom Holland,"$175,000,000.00","$880,166,924.00"
Avengers: Endgame,"Adventure, Science Fiction, Action",3h 1m,04/26/2019 (VN),56,90,English,83,Anthony Russo,Robert Downey Jr.,"$356,000,000.00","$2,797,800,564.00"
22 vs. Earth,"Family, Comedy, Fantasy, Animation",9m,04/30/2021 (US),0,2,English,72,Kevin Nolting,Tina Fey,-,-
Jiu Jitsu,"Fantasy, Action, Science Fiction",1h 42m,11/20/2020 (US),0,1,English,51,Dimitri Logothetis,Nicolas Cage,"$23,000,000.00","$99,924.00"
Venom,"Horror, Thriller",1h 25m,09/16/2005 (US),0,0,English,55,Jim Gillespie,Agnes Bruckner,-,"$881,779.00"
My Hero Academia: Two Heroes,"Animation, Action, Adventure, Fantasy",1h 36m,09/25/2018 (US),0,1,Japanese,80,Kenji Nagasaki,Daiki Yamashita,"$12,000,000.00","$31,478,826.00"
The Voyeurs,Thriller,1h 57m,09/10/2021 (US),0,2,English,69,Michael Mohan,Sydney Sweeney,-,-
Dreamcatcher,"Horror, Mystery, Thriller",1h 30m,03/05/2021 (US),0,0,English,66,Jacob Johnston,Niki Koss,-,-
Trollhunters: Rise of the Titans,"Animation, Fantasy, Family, Action, Adventure, Science Fiction",1h 46m,07/21/2021 (US),0,0,English,80,Francisco Ruiz Velasco,Emile Hirsch,-,-
Fear Street: 1994,"Horror, Mystery",1h 47m,07/02/2021 (US),1,2,English,68,Leigh Janiak,Kiana Madeira,-,-
Fatherhood,"Drama, Family, Comedy",1h 49m,06/18/2021 (RU),2,3,English,77,Paul Weitz,Kevin Hart,-,-
The King of Fighters,"Action, Thriller, Science Fiction",1h 33m,08/26/2010 (US),0,0,English,47,Gordon Chan,Sean Faris,"$12,000,000.00","$2,000,371.00"
PAW Patrol: Jet to the Rescue,"Family, Animation",,09/03/2020 (NL),0,1,English,70,,Anya Cooke,-,-
The Twilight Saga: Eclipse,"Adventure, Fantasy, Drama, Romance",2h 4m,06/23/2010 (US),1,1,English,62,David Slade,Kristen Stewart,"$68,000,000.00","$698,491,347.00"
Law Abiding Citizen,"Drama, Crime, Thriller",1h 49m,10/15/2009 (US),1,3,English,73,F. Gary Gray,Jamie Foxx,"$53,000,000.00","$126,690,726.00"
Pretty Guardian Sailor Moon Eternal The Movie Part 2,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",1h 20m,02/11/2021 (JP),0,1,Japanese,82,Chiaki Kon,Kotono Mitsuishi,-,-
KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,"Adventure, Comedy, Animation, Fantasy",1h 30m,08/30/2019 (JP),0,1,Japanese,84,Takaomi Kanasaki,Jun Fukushima,-,-
The Maze Runner,"Action, Mystery, Science Fiction, Thriller",1h 53m,09/18/2014 (VN),5,3,English,72,Wes Ball,Dylan O'Brien,"$34,000,000.00","$348,319,861.00"
Stay Out of the Attic,Horror,1h 20m,03/11/2021 (US),0,1,English,59,Jerren Lauder,Morgan Alexandria,-,-
Come Play With Me,Horror,1h 20m,02/25/2021 (MX),0,0,Spanish; Castilian,72,Adrián García Bogliano,Liz Dieppa,-,"$1,753,826.00"
The Amazing Spider-Man 2,"Action, Adventure, Fantasy",2h 22m,05/02/2014 (US),5,2,English,64,Marc Webb,Andrew Garfield,"$200,000,000.00","$708,962,323.00"
The Ogglies: Welcome to Smelliville,"Animation, Drama, Adventure, Family",1h 25m,01/01/2021 (US),0,0,English,75,Jens Møller,Sema'j Alexander Cunningham,-,-
Earwig and the Witch,"Animation, Fantasy, Family",1h 22m,02/04/2021 (AU),0,1,Japanese,64,Goro Miyazaki,Kokoro Hirasawa,-,"$384,659.00"
Cirque du Freak: The Vampire's Assistant,"Adventure, Fantasy, Action, Thriller",1h 49m,10/23/2009 (US),3,0,English,57,Paul Weitz,Chris Massoglia,"$40,000,000.00","$28,169,671.00"
Harry Potter and the Philosopher's Stone,"Adventure, Fantasy",2h 32m,11/16/2001 (US),2,35,English,79,Chris Columbus,Daniel Radcliffe,"$125,000,000.00","$976,475,550.00"
Dragon Ball Z: Resurrection 'F',"Action, Animation, Science Fiction",1h 33m,08/04/2015 (US),0,0,Japanese,68,Tadayoshi Yamamuro,Masako Nozawa,"$5,000,000.00","$61,768,190.00"
2012,"Action, Adventure, Science Fiction",2h 38m,10/10/2009 (US),2,5,English,58,Roland Emmerich,John Cusack,"$200,000,000.00","$791,217,826.00"
Girl in the Basement,"Crime, Thriller",1h 30m,02/27/2021 (US),0,0,English,81,Elisabeth Röhm,Judd Nelson,-,-
Hotel Transylvania 3: Summer Vacation,"Family, Fantasy, Comedy, Animation",1h 37m,07/13/2018 (US),1,4,English,69,Genndy Tartakovsky,Adam Sandler,"$80,000,000.00","$528,600,000.00"
The Kissing Booth 3,"Romance, Comedy",1h 52m,08/11/2021 (US),0,2,English,74,Vince Marcello,Joey King,-,-
Mulan,"Adventure, Fantasy",1h 55m,09/04/2020 (CZ),2,12,English,70,Niki Caro,Liu Yifei,"$200,000,000.00","$66,800,000.00"
Jackie Chan Kung Fu Master,"Action, Comedy, Family",1h 25m,09/27/2010 (US),0,0,Chinese,44,Gangliang Fang,Zhang Yishan,-,-
Honest Thief,"Thriller, Action, Crime, Drama",1h 39m,10/16/2020 (US),3,4,English,65,Mark Williams,Liam Neeson,-,"$29,404,235.00"
Predators,"Science Fiction, Action, Thriller",1h 47m,07/03/2010 (US),2,4,English,62,Nimród Antal,Adrien Brody,"$40,000,000.00","$127,233,108.00"
Willy's Wonderland,"Action, Horror, Comedy",1h 28m,03/17/2021 (ID),1,2,English,65,Kevin Lewis,Nicolas Cage,"$5,000,000.00","$431,020.00"
The Last Airbender,"Action, Adventure, Fantasy",1h 43m,07/01/2010 (US),1,2,English,47,M. Night Shyamalan,Noah Ringer,"$150,000,000.00","$319,713,881.00"
Sweat,"Drama, Thriller",1h 47m,06/18/2021 (US),0,0,Polish,68,Magnus von Horn,Magdalena Koleśnik,-,-
Corpse Bride,"Romance, Fantasy, Animation",1h 17m,09/23/2005 (US),0,3,English,75,Mike Johnson,Johnny Depp,"$40,000,000.00","$118,090,836.00"
TEKKEN,"Crime, Drama, Action, Thriller, Science Fiction",1h 32m,03/20/2010 (JP),1,2,English,54,Dwight H. Little,Jon Foo,"$30,000,000.00","$967,000.00"
My Hero Academia: World Heroes' Mission,"Animation, Action, Comedy, Fantasy, Adventure",1h 41m,10/29/2021 (US),0,0,Japanese,69,Kenji Nagasaki,Daiki Yamashita,-,-
Halloween Kills,"Horror, Thriller, Crime",1h 46m,10/15/2021 (US),0,4,English,0,David Gordon Green,Jamie Lee Curtis,-,-
Daisy Quokka: World's Scariest Animal,"Animation, Comedy, Family",1h 28m,02/04/2021 (NZ),0,0,English,68,Ricard Cussó,Angourie Rice,-,-
Skylines,"Science Fiction, Action",1h 53m,10/25/2020 (US),2,1,English,57,Liam O'Donnell,Lindsey Morgan,-,-
Pokémon: Mewtwo Strikes Back - Evolution,"Animation, Adventure, Fantasy, Action, Family",1h 38m,07/12/2019 (JP),0,1,Japanese,67,Tetsuo Yajima,Rica Matsumoto,-,"$26,654,184.00"
Inception,"Action, Science Fiction, Adventure",2h 28m,08/06/2010 (VN),5,15,English,83,Christopher Nolan,Leonardo DiCaprio,"$160,000,000.00","$825,532,764.00"
Once Upon a Snowman,"Animation, Family, Comedy, Fantasy",7m,10/23/2020 (US),0,0,English,69,Trent Correy,Josh Gad,-,-
The Karate Kid,"Action, Adventure, Drama, Family",2h 20m,06/10/2010 (US),3,5,English,65,Harald Zwart,Jaden Smith,"$40,000,000.00","$359,126,022.00"
Swallow,"Drama, History, Thriller, Crime",,10/01/2021 (US),0,0,English,60,Kunle Afolayan,Chioma Chukwuka Akpotha,-,-
He's All That,"Comedy, Romance",1h 31m,08/27/2021 (US),0,1,English,69,Mark Waters,Addison Rae,-,-
Thor,"Adventure, Fantasy, Action",1h 55m,04/29/2011 (VN),36,5,English,68,Kenneth Branagh,Chris Hemsworth,"$150,000,000.00","$449,326,618.00"
Spider-Man 3,"Fantasy, Action, Adventure",2h 19m,05/03/2007 (US),34,5,English,63,Sam Raimi,Tobey Maguire,"$258,000,000.00","$890,871,626.00"
Abraham Lincoln: Vampire Hunter,"Action, Fantasy, Horror",1h 34m,08/03/2012 (VN),3,3,English,57,Timur Bekmambetov,Benjamin Walker,"$69,000,000.00","$116,471,580.00"
Skyfall,"Action, Adventure, Thriller",2h 23m,11/02/2012 (VN),8,15,English,72,Sam Mendes,Daniel Craig,"$200,000,000.00","$1,108,561,013.00"
Harry Potter and the Prisoner of Azkaban,"Adventure, Fantasy",2h 21m,06/04/2004 (US),1,3,English,80,Alfonso Cuarón,Daniel Radcliffe,"$130,000,000.00","$789,804,554.00"
Why Women Cheat,Romance,1h 17m,07/06/2021 (CN),0,0,English,70,,Shag Deng,-,-
Chaos Walking,Science Fiction,1h 49m,03/05/2021 (US),3,3,English,69,Doug Liman,Tom Holland,"$125,000,000.00",-
Coraline,"Animation, Family, Fantasy",1h 40m,02/06/2009 (US),3,7,English,77,Henry Selick,Dakota Fanning,"$60,000,000.00","$124,596,398.00"
Spider-Man,"Fantasy, Action",2h 1m,05/03/2002 (US),33,6,English,72,Sam Raimi,Tobey Maguire,"$139,000,000.00","$821,708,551.00"
Brothers by Blood,"Crime, Action, Drama",1h 45m,09/08/2020 (US),0,0,English,60,Jérémie Guez,Matthias Schoenaerts,-,-
Safer at Home,"Thriller, Horror",1h 22m,02/26/2021 (US),0,0,English,58,Will Wernick,Jocelyn Hudon,-,-
Rascal Does Not Dream of a Dreaming Girl,"Animation, Comedy, Romance, Drama, Fantasy",1h 30m,06/15/2019 (JP),0,0,Japanese,85,Souichi Masui,Kaito Ishikawa,-,-
Harry Potter and the Goblet of Fire,"Adventure, Fantasy, Family",2h 37m,08/25/2006 (VN),1,3,English,78,Mike Newell,Daniel Radcliffe,"$150,000,000.00","$895,921,036.00"
It Chapter Two,"Horror, Fantasy",2h 49m,09/06/2019 (VN),7,12,English,69,Andy Muschietti,Bill Skarsgård,"$79,000,000.00","$473,093,228.00"
Crisis,"Thriller, Crime, Drama",1h 58m,02/26/2021 (US),0,1,English,64,Nicholas Jarecki,Gary Oldman,-,-
Pacific Rim,"Action, Science Fiction, Adventure",2h 11m,07/12/2013 (US),6,5,English,68,Guillermo del Toro,Charlie Hunnam,"$180,000,000.00","$407,602,906.00"
Avengers: Age of Ultron,"Action, Adventure, Science Fiction",2h 21m,05/01/2015 (US),40,8,English,73,Joss Whedon,Robert Downey Jr.,"$250,000,000.00","$1,405,403,694.00"
The New Mutants,"Horror, Science Fiction",1h 34m,09/02/2020 (VN),5,13,English,63,Josh Boone,Maisie Williams,"$67,000,000.00","$45,534,613.00"
Vanquish,"Action, Crime, Thriller",1h 36m,04/16/2021 (US),2,2,English,60,George Gallo,Morgan Freeman,-,-
Rurouni Kenshin: The Final,"Action, Adventure, Drama",2h 18m,04/23/2021 (JP),0,2,Japanese,79,Keishi Ōtomo,Takeru Satoh,-,"$33,457,923.00"
Harry Potter and the Chamber of Secrets,"Adventure, Fantasy",2h 41m,11/15/2002 (US),0,4,English,77,Chris Columbus,Daniel Radcliffe,"$100,000,000.00","$876,688,482.00"
Demonic,"Horror, Thriller",1h 44m,08/20/2021 (US),0,2,English,50,Neill Blomkamp,Carly Pope,-,-
"Batman: The Long Halloween, Part Two","Animation, Mystery, Action, Crime",1h 27m,07/27/2021 (US),1,0,English,78,Chris Palmer,Jensen Ackles,-,-
The Hangover,Comedy,1h 40m,06/05/2009 (US),0,3,English,73,Todd Phillips,Bradley Cooper,"$35,000,000.00","$469,310,836.00"
Cell 211,"Action, Thriller, Drama",1h 50m,11/06/2009 (ES),0,0,Spanish; Castilian,75,Daniel Monzón,Luis Tosar,"$5,700,000.00","$19,300,483.00"
Teenage Mutant Ninja Turtles,"Science Fiction, Action, Adventure, Comedy",1h 41m,08/07/2014 (VN),2,13,English,59,Jonathan Liebesman,Megan Fox,"$125,000,000.00","$477,200,000.00"
Insensate,"Mystery, Horror, Thriller",1h 24m,08/04/2021 (BR),0,0,Portuguese,66,Roberto Moreira,Cleo Pires,-,-
Public Enemies,"Crime, History",2h 20m,07/01/2009 (US),0,3,English,67,Michael Mann,Johnny Depp,"$100,000,000.00","$214,104,620.00"
Sweet & Sour,"Comedy, Romance",1h 41m,06/04/2021 (US),0,0,Korean,80,Lee Kae-byeok,Jang Ki-yong,-,-
Under the Stars of Paris,"Drama, Comedy",1h 26m,04/08/2021 (BR),0,0,French,62,Claus Drexel,Catherine Frot,-,-
Zack and Miri Make a Porno,Comedy,1h 42m,09/18/2008 (US),0,6,English,62,Kevin Smith,Seth Rogen,"$24,000,000.00","$42,105,111.00"
Journey 2: The Mysterious Island,"Adventure, Action, Science Fiction",1h 34m,02/10/2012 (US),1,1,English,61,Brad Peyton,Dwayne Johnson,"$79,000,000.00","$355,692,760.00"
Universal Soldier: Regeneration,"Adventure, Action, Science Fiction, Thriller",1h 37m,10/01/2009 (US),0,0,English,56,John Hyams,Jean-Claude Van Damme,"$14,000,000.00","$875,386.00"
Lady of the Manor,"Comedy, Fantasy",1h 36m,09/17/2021 (US),0,0,English,64,Justin Long,Melanie Lynskey,-,-
Deadpool,"Action, Adventure, Comedy",1h 48m,02/12/2016 (VN),7,14,English,76,Tim Miller,Ryan Reynolds,"$58,000,000.00","$783,100,000.00"
John Wick: Chapter 3 - Parabellum,"Action, Thriller, Crime",2h 10m,05/17/2019 (US),7,19,English,74,Chad Stahelski,Keanu Reeves,"$55,000,000.00","$326,709,727.00"
Terminator Salvation,"Action, Science Fiction, Thriller",1h 55m,05/20/2009 (US),5,4,English,60,McG,Christian Bale,"$200,000,000.00","$371,353,001.00"
Hacksaw Ridge,"Drama, History, War",2h 19m,11/04/2016 (US),5,17,English,82,Mel Gibson,Andrew Garfield,"$40,000,000.00","$175,302,354.00"
Tenet,"Action, Thriller, Science Fiction",2h 30m,08/28/2020 (VN),12,15,English,73,Christopher Nolan,John David Washington,"$205,000,000.00","$363,129,000.00"
Prometheus,"Science Fiction, Adventure, Mystery",2h 4m,06/22/2012 (VN),2,13,English,65,Ridley Scott,Noomi Rapace,"$130,000,000.00","$403,170,142.00"
Resort to Love,"Romance, Comedy",1h 41m,07/29/2021 (US),0,0,English,74,Steven K. Tsuchida,Christina Milian,-,-
The Virtuoso,"Thriller, Action, Crime",1h 45m,08/26/2021 (DE),1,2,English,63,Nick Stagliano,Anthony Hopkins,-,-
The Nightmare Before Christmas,"Fantasy, Animation, Family",1h 16m,10/09/1993 (US),1,3,English,78,Henry Selick,Chris Sarandon,"$24,000,000.00","$75,634,409.00"
The Conjuring,"Horror, Thriller",1h 52m,07/19/2013 (US),4,8,English,75,James Wan,Vera Farmiga,"$13,000,000.00","$319,494,638.00"
Lokillo: Nothing's the Same,Comedy,1h 4m,08/12/2021 (AU),0,0,Spanish; Castilian,76,José Julián Gaviria,Yedinson Flórez,-,-
The Starling,"Comedy, Drama",1h 43m,09/17/2021 (US),0,1,English,71,Theodore Melfi,Melissa McCarthy,-,-
Those Who Wish Me Dead,Thriller,1h 40m,05/14/2021 (US),3,2,English,70,Taylor Sheridan,Angelina Jolie,"$20,000,000.00","$23,384,502.00"
Wrong Turn,"Horror, Thriller",1h 50m,01/26/2021 (BR),3,2,English,60,Mike P. Nelson,Charlotte Vega,-,"$3,777,969.00"
Jonah Hex,"Action, Western, Drama, Fantasy, Thriller",1h 21m,06/18/2010 (US),2,1,English,48,Jimmy Hayward,Josh Brolin,"$47,000,000.00","$10,539,000.00"
Spider-Man: Into the Spider-Verse,"Action, Adventure, Animation, Science Fiction, Comedy",1h 57m,12/14/2018 (US),49,11,English,84,Peter Ramsey,Shameik Moore,"$90,000,000.00","$375,540,831.00"
The Wolf of Wall Street,"Crime, Drama, Comedy",3h,12/25/2013 (US),5,9,English,80,Martin Scorsese,Leonardo DiCaprio,"$100,000,000.00","$392,000,000.00"
"Monsters, Inc.","Animation, Comedy, Family",1h 32m,11/01/2001 (US),1,31,English,78,Pete Docter,John Goodman,"$115,000,000.00","$562,816,256.00"
Chilangolandia,Comedy,,09/16/2021 (MX),0,0,Spanish; Castilian,20,Carlos Santos,Liliana Arriaga,-,-
Angels & Demons,"Thriller, Mystery",2h 18m,05/15/2009 (US),1,1,English,67,Ron Howard,Tom Hanks,"$150,000,000.00","$485,930,816.00"
Thor: Ragnarok,"Action, Adventure, Comedy, Fantasy, Science Fiction",2h 11m,11/03/2017 (US),36,78,English,76,Taika Waititi,Chris Hemsworth,"$180,000,000.00","$853,977,126.00"
Bad Lieutenant: Port of Call - New Orleans,"Drama, Crime",2h 2m,11/20/2009 (US),0,4,English,62,Werner Herzog,Nicolas Cage,"$25,000,000.00","$10,589,102.00"
Clash of the Titans,"Adventure, Fantasy, Action",1h 46m,04/02/2010 (US),1,0,English,58,Louis Leterrier,Sam Worthington,"$125,000,000.00","$493,214,993.00"
Your Name.,"Romance, Animation, Drama",1h 46m,08/26/2016 (JP),4,6,Japanese,86,Makoto Shinkai,Ryunosuke Kamiki,-,"$357,986,087.00"
El cuartito,Comedy,1h 34m,03/25/2021 (PR),0,1,Spanish; Castilian,46,Marcos Carnevale,Isel Rodriguez,-,-
The Lion King,"Family, Animation, Drama",1h 29m,06/23/1994 (US),1,12,English,83,Roger Allers,Matthew Broderick,"$45,000,000.00","$763,455,561.00"
World War Z,"Action, Drama, Horror, Science Fiction, Thriller",1h 56m,06/21/2013 (US),2,3,English,68,Marc Forster,Brad Pitt,"$200,000,000.00","$531,865,000.00"
Toy Story,"Animation, Adventure, Family, Comedy",1h 21m,11/22/1995 (US),3,9,English,80,John Lasseter,Tom Hanks,"$30,000,000.00","$373,554,033.00"
Dinosaur Hotel,"Horror, Science Fiction, Mystery",1h 17m,06/11/2021 (US),0,0,English,52,Jack Peter Mundy,Chelsea Greenwood,-,-
Money Heist: The Phenomenon,Documentary,57m,04/03/2020 (US),0,4,Spanish; Castilian,76,Luis Alfaro,Úrsula Corberó,-,-
Naruto Shippuden the Movie: Road to Ninja,"Animation, Fantasy, Action",1h 49m,07/28/2012 (JP),0,0,Japanese,76,Hayato Date,Junko Takeuchi,-,"$17,322,136.00"
The Hobbit: The Battle of the Five Armies,"Action, Adventure, Fantasy",2h 24m,12/17/2014 (US),4,22,English,73,Peter Jackson,Ian McKellen,"$250,000,000.00","$956,019,788.00"
Real Steel,"Action, Science Fiction, Drama",2h 7m,10/06/2011 (US),2,2,English,69,Shawn Levy,Hugh Jackman,"$110,000,000.00","$299,268,508.00"
No Sudden Move,"Crime, Drama, Thriller, Mystery",1h 55m,06/24/2021 (DE),0,1,English,65,Steven Soderbergh,Don Cheadle,-,-
Bad Trip,Comedy,1h 27m,03/26/2021 (AU),1,3,English,61,Kitao Sakurai,Eric André,-,-
Project X,Comedy,1h 28m,03/02/2012 (US),1,3,English,68,Nima Nourizadeh,Thomas Mann,-,-
Spectre,"Action, Adventure, Thriller",2h 28m,11/06/2015 (VN),5,23,English,65,Sam Mendes,Daniel Craig,"$245,000,000.00","$880,674,609.00"
District 9,Science Fiction,1h 52m,08/14/2009 (US),2,4,English,74,Neill Blomkamp,Sharlto Copley,"$30,000,000.00","$210,819,611.00"
Harry Potter and the Half-Blood Prince,"Adventure, Fantasy",2h 33m,07/08/2009 (US),3,3,English,77,David Yates,Daniel Radcliffe,"$250,000,000.00","$933,959,197.00"
Outside the Wire,"Thriller, Action, Science Fiction",1h 56m,01/15/2021 (US),0,2,English,64,Mikael Håfström,Anthony Mackie,-,-
Harry Potter and the Order of the Phoenix,"Adventure, Fantasy, Mystery",2h 18m,07/11/2007 (US),1,6,English,77,David Yates,Daniel Radcliffe,"$150,000,000.00","$938,212,738.00"
Pirates of the Caribbean: On Stranger Tides,"Adventure, Action, Fantasy",2h 17m,05/20/2011 (US),3,2,English,65,Rob Marshall,Johnny Depp,"$380,000,000.00","$1,045,713,802.00"
Peninsula,"Action, Horror, Thriller",1h 56m,07/24/2020 (VN),5,4,Korean,69,Yeon Sang-ho,Gang Dong-won,"$17,000,000.00","$39,657,073.00"
Boyka: Undisputed IV,"Action, Drama",1h 27m,08/01/2016 (ES),2,0,English,70,Todor Chapkanov,Scott Adkins,-,-
The Town,"Crime, Drama, Thriller",2h 5m,09/17/2010 (US),2,3,English,72,Ben Affleck,Ben Affleck,"$37,000,000.00","$154,026,136.00"
100% Wolf,"Family, Animation, Fantasy",1h 36m,06/26/2020 (VN),1,0,English,59,Alexs Stadermann,Ilai Swindells,-,"$4,608,579.00"
